,firearm_used_flag,zip_code,report_no,age,sex
13071,True,64106,KC20009098,49,M
13075,True,64108,KC20008160,21,F
13087,True,64137,KC20007493,49,F
13123,True,64126,KC20010080,23,F
13152,True,64132,KC20000415,42,M
13188,True,64131,KC20005218,27,M
13192,True,64111,KC20001217,42,M
13238,True,64129,KC20001538,48,M
13310,True,64151,KC20009863,35,M
13391,True,64118,KC20001955,23,M
13396,True,64129,KC20001292,33,F
13431,True,64130,KC20003430,83,F
13455,True,64132,KC20008242,51,M
13479,True,64134,KC20007732,40,M
13536,True,64111,KC20011327,32,M
13540,True,64133,KC20001693,27,M
13598,True,64130,KC20013161,35,F
13621,True,64111,KC20015257,23,M
13639,True,64127,KC20007585,31,M
13642,True,64127,KC20002265,33,M
13677,True,64114,KC20009918,29,M
13681,True,64132,KC20008242,37,F
13684,True,64132,KC20013754,39,M
13700,True,64124,KC20008131,44,F
13742,True,64127,KC20008917,44,M
13774,True,64130,KC20009557,22,F
13788,True,64134,KC20015702,39,F
13823,True,64111,KC20009190,53,M
13826,True,64133,KC20004714,20,F
13870,True,64101,KC20013992,19,M
13876,True,64111,KC20005997,29,F
13889,True,64130,KC20010590,30,F
13935,True,64133,KC20004714,30,F
13983,True,64127,KC20010714,19,M
13986,True,64128,KC20008719,31,M
14038,True,64134,KC20013845,22,M
14047,True,64124,KC20006710,24,M
14053,True,64129,KC20005774,37,M
14064,True,64134,KC20014012,54,M
14115,True,64133,KC20004714,25,F
14138,True,64134,KC20004297,47,M
14147,True,64131,KC20000087,67,F
14193,True,64119,KC20002828,33,F
14203,True,64127,KC20002651,31,M
14207,True,64111,KC20001456,50,M
14208,True,64132,KC20000075,22,F
14227,True,64110,KC20000638,37,M
14253,True,64126,KC20012743,43,M
14288,True,64130,KC20015449,55,M
14290,True,64137,KC20012786,20,M
14323,True,64110,KC20001299,62,F
14351,True,64128,KC20014136,55,M
14366,True,64128,KC20000204,22,M
14383,True,64130,KC20006539,40,M
14399,True,64134,KC20010847,20,M
14434,True,64124,KC20016294,35,M
14438,True,64125,KC20000794,19,F
14471,True,64131,KC20011806,40,M
14480,True,64134,KC20000738,35,M
14484,True,64161,KC20001028,33,M
14517,True,64108,KC20007000,28,M
14531,True,64134,KC20004942,59,M
14543,True,64108,KC20009618,24,M
14547,True,64118,KC20015496,45,M
14596,True,64131,KC20006697,35,M
14611,True,64111,KC20015257,20,M
14612,True,64132,KC20002070,47,M
14636,True,64134,KC20016218,35,M
14646,True,64134,KC20008379,30,F
14669,True,64131,KC20002159,20,M
14670,True,64126,KC20012010,55,F
14673,True,64132,KC20003777,21,M
14727,True,64126,KC20012398,19,M
14786,True,64130,KC20008733,30,M
14794,True,64138,KC20008789,81,M
14832,True,64110,KC20005131,59,F
14837,True,64124,KC20003565,20,F
14838,True,64138,KC20000102,37,F
14843,True,64110,KC20000597,22,F
14877,True,64112,KC20008769,18,M
14879,True,64124,KC20000125,18,M
14885,True,64138,KC20004878,23,M
14897,True,64133,KC20004714,36,M
14917,True,64116,KC20000387,29,M
14919,True,64130,KC20010114,46,M
14923,True,64111,KC20004740,20,F
14929,True,64111,KC20015257,18,M
14935,True,64133,KC20004714,27,M
14939,True,64129,KC20013567,48,F
14945,True,64124,KC20013664,19,M
14950,True,64127,KC20003589,37,F
14973,True,64134,KC20000018,60,M
14980,True,64123,KC20009630,19,M
14995,True,64132,KC20005518,41,M
15005,True,64134,KC20006238,47,F
15009,True,64151,KC20002992,37,F
15015,True,64127,KC20015953,26,M
15028,True,64116,KC20000013,70,F
15051,True,64109,KC20009770,24,M
15054,True,64126,KC20010080,22,F
15055,True,64108,KC20009618,36,M
15068,True,64154,KC20002387,55,M
15089,True,64109,KC20015835,19,M
15091,True,64127,KC20012017,45,M
15093,True,64132,KC20006189,28,F
15104,True,64110,KC20000048,22,M
15106,True,64123,KC20000357,55,M
15119,True,64108,KC20009618,43,M
15133,True,64130,KC20002310,39,M
15173,True,64111,KC20005611,54,M
15179,True,64134,KC20009823,28,M
15188,True,64123,KC20014572,28,M
15204,True,64145,KC20007253,20,M
15209,True,64134,KC20011352,22,M
15210,True,64155,KC20007951,32,M
15238,True,64133,KC20014671,25,M
15331,True,64120,KC20010297,33,M
15336,True,64130,KC20000358,40,M
15357,True,64128,KC20011837,30,M
15360,True,64128,KC20008838,19,F
15396,True,64130,KC20001776,30,M
15418,True,64124,KC20007605,41,M
15521,True,64106,KC20015668,53,F
15525,True,64155,KC20012054,62,M
15531,True,64128,KC20001032,36,M
15550,True,64118,KC20002038,31,M
15559,True,64109,KC20008267,21,M
15567,True,64111,KC20004740,18,M
15577,True,64111,KC20015257,25,M
15597,True,64133,KC20004714,25,F
15622,True,64138,KC20004878,27,F
15646,True,64111,KC20015257,24,F
15683,True,64130,KC20003459,30,M
15701,True,64030,KC20006857,30,F
15721,True,64129,KC20003867,53,M
15763,True,64133,KC20004714,27,M
15788,True,64108,KC20009618,43,M
15818,True,64111,KC20006244,21,M
15871,True,64130,KC20016984,26,F
15876,True,64109,KC20004965,49,M
15884,True,64133,KC20004714,26,M
15892,True,64124,KC20002758,21,M
15909,True,64133,KC20004714,27,F
15929,True,64130,KC20006539,26,F
15948,True,64132,KC20005518,32,F
15976,True,64124,KC20009623,47,M
15980,True,64131,KC20002725,57,F
16044,True,64125,KC20016243,30,M
16046,True,64111,KC20008699,29,M
16062,True,64109,KC20002589,27,M
16074,True,64111,KC20007679,39,M
16077,True,64131,KC20011806,41,M
16101,True,64128,KC20008719,41,M
16129,True,64126,KC20001881,21,M
16149,True,64101,KC20001213,22,M
16171,True,64129,KC20001538,47,F
16272,True,64123,KC20004883,32,M
16293,True,64132,KC20014966,25,M
16299,True,64134,KC20011352,20,F
16300,True,64127,KC20001464,30,M
16319,True,64130,KC20008013,26,F
16328,True,64127,KC20015953,19,F
16338,True,64130,KC20001677,44,M
16344,True,64127,KC20016876,41,M
16403,True,64110,KC20002937,18,F
16405,True,64127,KC20015830,40,M
16411,True,64124,KC20004393,30,M
16456,True,64109,KC20010838,22,M
16460,True,64131,KC20000498,18,M
16497,True,64116,KC20008601,30,M
16499,True,64132,KC20003456,29,M
16502,True,64127,KC20014469,68,F
16504,True,64131,KC20014755,24,M
16514,True,64130,KC20010200,38,F
16541,True,64138,KC20002736,68,M
16544,True,64111,KC20007639,24,F
16572,True,64127,KC20009325,27,M
16596,True,64130,KC20004772,32,M
16616,True,64133,KC20004714,27,M
16622,True,64116,KC20007512,46,M
16646,True,64138,KC20012855,47,M
