,Lat,Lng
13676,38.998349, -94.568419
13678,39.184283, -94.551814
13697,39.078058, -94.528774
13699,38.966498, -94.50055
13700,39.051239, -94.595617
13704,39.094188, -94.537443
13760,39.054717, -94.531695
13761,39.105211, -94.552386
13765,39.285851, -94.570811
13777,39.063018, -94.56477
13784,38.971462, -94.605386
13808,39.039628, -94.443873
13816,39.064592, -94.593971
13826,39.032835, -94.537697
13836,39.168919, -94.496877
13862,39.17152, -94.545943
13884,39.258865, -94.459189
13898,39.033747, -94.41578
13932,39.083897, -94.579011
13965,39.053044, -94.590339
14003,39.079177, -94.57613
14012,39.033747, -94.41578
14023,39.260134, -94.649356
14038,39.248015, -94.593988
14059,39.06036, -94.540619
14075,39.169086, -94.52017
14116,39.058483, -94.582428
14135,38.943649, -94.512274
14136,38.889239, -94.586045
14151,39.033747, -94.41578
14174,39.006326, -94.439651
14177,39.033747, -94.41578
14252,38.968797, -94.510734
14262,39.178205, -94.535229
14272,38.907268, -94.598889
14279,39.083241, -94.523647
14310,39.265021, -94.659395
14313,38.924532, -94.505289
14320,39.050483, -94.5973
14328,38.882537, -94.589873
14329,39.239512, -94.575999
14336,39.057711, -94.591008
14358,38.941985, -94.511819
14359,39.094188, -94.537443
14372,39.070492, -94.571319
14388,39.036469, -94.494392
14410,39.112368, -94.516343
14420,39.054644, -94.598636
14422,39.091862, -94.552236
14428,39.168919, -94.496877
14429,38.925248, -94.505714
14449,39.189472, -94.483232
14458,39.129864, -94.492573
14480,39.103668, -94.585386
14488,39.269958, -94.456511
14587,39.285851, -94.570811
14629,39.11233, -94.515195
14633,39.098075, -94.567191
14650,38.939156, -94.517136
14653,39.23346, -94.664938
14654,38.997545, -94.548763
14696,39.084299, -94.544644
14721,39.306542, -94.682129
14753,39.05663, -94.587527
14761,39.17457, -94.544478
14786,39.084761, -94.576146
14820,39.189786, -94.51282
14822,39.100912, -94.540935
14823,39.033747, -94.41578
14832,38.966571, -94.587291
14839,39.003182, -94.550821
14840,38.958465, -94.488186
14844,39.236635, -94.66565
14864,39.032673, -94.529368
14872,39.035097, -94.498842
14898,39.042437, -94.595019
14899,39.163589, -94.491212
14900,38.945433, -94.596448
14930,39.114617, -94.507902
14970,38.937895, -94.550953
15012,39.105046, -94.514381
15057,39.033747, -94.41578
15067,38.971462, -94.605386
15082,39.108701, -94.518912
15097,39.240633, -94.460931
15099,39.036445, -94.587261
15118,39.102294, -94.505922
15121,39.184283, -94.551814
15145,39.10002, -94.585576
15171,38.940034, -94.521339
15174,39.073732, -94.564162
15190,39.08415, -94.563985
15193,39.026694, -94.483551
15196,39.215538, -94.493753
